Authors,Title,Year,Source title,DI,Abstract,Author Keywords,Publication Stage,Open Access,Source,EID,OpenAlex_KW
Busch C.B.E.; van den Hoek K.; van Baar A.C.G.; Meiring S.; Bouwmeester T.A.; Holleman F.; Nieuwdorp M.; Bergman J.J.G.H.M.,Durable insulin elimination after duodenal re-cellularization via electroporation therapy combined with glucagon-like peptide-1 receptor agonist in patients with type 2 diabetes,2025,iGIE,10.1016/j.igie.2025.03.012,"Background and Aims: Re-cellularization via electroporation therapy (ReCET) is an endoscopic procedure that uses electroporation to induce cellular apoptosis and subsequent re-epithelization in the duodenum. ReCET has demonstrated a positive effect on glycaemia. In this study, a single ReCET procedure was combined with a glucagon-like peptide-1 receptor agonist (GLP-1RA) with the goal of eliminating insulin treatment in patients with type 2 diabetes (T2D). At 12 months 86% of patients remained off insulin. Here we report the longer-term efficacy and safety of ReCET combined with GLP-1RA over 24 months. Methods: This was a first-in-human study in patients with T2D on basal insulin (28-75 years of age; body mass index, 24-40 kg/m2; hemoglobin A1c [HbA1c], ≤64 mmol/mol; C-peptide, ≥0.2 nmol/L). All of the patients underwent ReCET, after which insulin was discontinued and semaglutide (GLP-1RA) was initiated. The follow-up was extended to 24 months for initial responders (off insulin and HbA1c ≤58 mmol/mol at 12 months). Primary end points were number of responders (efficacy) and number of adverse events, serious adverse events, and hypoglycemic events (safety). Secondary end points included glycemic, metabolic, and cardiovascular parameters, and treatment satisfaction scores. Results: Fourteen patients underwent endoscopic ReCET. Eleven initial responders completed the 24-month follow-up, of which 1 withdrew consent after 18 months. All patients remained off insulin with adequate glycemic control. No procedure-related serious adverse events or severe hypoglycemic events were observed during 24 months of follow-up. Homeostatic model assessment of insulin resistance and liver fat percentage improved significantly compared with baseline. Conclusions: These results suggest that duodenal ReCET combined with semaglutide is durable, allowing insulin elimination up to 24 months, and appears safe. Glycemic control was maintained, and metabolic health improved during the 24-month follow-up period. © 2025 The Authors",,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105004889297,[WARNING:NoKeywords]
Wang A.; Guang Y.; Li Y.; Wang Y.; Yang B.; Feng S.; Yuan C.; Englert U.,"Synthesis, structural diversity and luminescence properties of four d10 complexes constructed from 1,4-bis(2′-carboxylatophenoxy)benzene",2025,Inorganic Chemistry Communications,10.1016/j.inoche.2025.114620,"Based on a semi-rigid dicarboxylic acid 1,4-bis(2′-carboxylatophenoxy)benzene (H2bcpb), four d10 complexes [Zn3(μ3-bcpb)2(OH)2]n (1), [Zn2(μ2-bcpb)(μ4-bcpb)(phen)2]n (2), the closely related [Zn2(μ2-bcpb)(μ4-bcpb)(2,2′-bipy)2]n (3) and {[Cd2(μ4-bcpb)2(2,2′-bipy)2]·1.5H2O}n (4) (phen = 1,10-phenanthroline and 2,2′-bipy = 2,2′-bipyridine) have been synthesized under solvothermal conditions and fully characterized. Single crystal X-ray diffraction revealed that the oxygen links in bcpb2− may act as hinges, allowing for extended and folded conformations of the ligand. The resulting complexes show excellent structural stability over a wide pH range. The chain polymer 1 and the 2D networks 2 and 3 are promising luminescence sensors for Cu2+ ions with ‘turn-off’ behaviour in aqueous solution. The limit of detection for 1 is as low as 6.0 nM and thus superior to other fluorescent sensors based on metal complexes. Interestingly, 1 may also be used to sensitize Tb3+ cations with ‘turn on’ performance and exhibits good anti-interference to other lanthanide cations. As a dual-sensor, it shows good recyclability and structural stability after the sensing experiments. The possible mechanism for fluorescence quenching by Cu2+ and enhancement by Tb3+ was investigated with powder diffraction, fluorescence lifetime experiments, and infrared, UV–Vis and X-ray photoelectron spectroscopy. © 2025 Elsevier B.V.",,Final,,Scopus,2-s2.0-105004044434,[WARNING:NoKeywords]
Elcik D.; Tuncay A.; Bireciklioglu M.F.; İnanc M.T.,The importance of inflammation in atrial fibrillation recurrence in patients with atrial fibrillation treated with Cryo balloon ablation,2025,Indian Pacing and Electrophysiology Journal,10.1016/j.ipej.2024.12.005,"Aim/background: Although atrial fibrillation is the most common rhythm problem, the results of treatment to restore sinus rhythm are still not satisfactory. Nearly half of patients undergoing ablation relapse within one year. Therefore, triggered activities may not be the only cause. Inflammation is quite common in AF. In this study, we investigated the effect of PIV, an inflammatory marker, on recurrence. Methods: A total of 157 patients who underwent ablation with cryo balloon were included in the study. One-year follow-up was evaluated for causes of recurrence. Results: When the inflammatory parameters between the two groups are analyzed, CRP (5.9 [5.0–6.9] vs 9.7 [7.6–11.9], p < 0.001), NL ratio (2.8 [2.5–3.0] vs 6.4 [5.0–6.8], p < 0.001), SII2 (618.5 [557.1–679.9] vs 1798.9 [1305.8–2292.1], p < 0.001), PIV (355.9 [313.4–398.4] vs 1832 [1317.8–2347.1], p < 001) were significantly higher in the AF recurrence group. ROC analysis showed that PIV had the best sensitivity and specificity. Conclusions: Inflammation has been found to be a cause of AF recurrence and PIV is one of the best markers for this. © 2024 Indian Heart Rhythm Society",,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-86000433301,[WARNING:NoKeywords]
Larhant C.; Lassus A.; Morelot-Panzini C.; Taupinard E.; Geoffroy P.-A.; Taillé C.,Factitious severe asthma: A diagnostic challenge in the era of biologics,2025,Journal of Allergy and Clinical Immunology: In Practice,10.1016/j.jaip.2025.02.008,[No abstract available],,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105000048736,[WARNING:NoKeywords]
Durmaz N.; Mutlu-Ağardan N.B.; Parlak H.,In vitro assessment of hyaluronic acid and chitosan based nanoparticles as pH sensitive drug carriers for rheumatoid arthritis,2025,Journal of Drug Delivery Science and Technology,10.1016/j.jddst.2025.107188,"Rheumatoid arthritis is a chronic disease that causes inflammation in various tissues. Glucocorticoids are used in its treatment at high doses at frequent intervals, causing side effects that reduce the life standard of the patients. In this study, three types of nanoparticles that include chitosan (CS) and/or sodium tripolyphosphate (TPP) and/or hyaluronic acid (HA) were developed by choosing hydrocortisone (HC) as a representative model drug of glucocorticoids. Formulation optimization studies were carried out by Box-Behnken experimental design, CS:TPP, CS:HA and CS:TPP:HA nanoparticles were prepared by using chitosan solution at pH 3. CS:TPP and CS:HA ratios were chosen as 2:1 and 0.5:1, stirring time and stirring rate were adjusted to 35 min and 1000 rpm, respectively. The particle sizes of CS:TPP, CS:HA and CS:TPP:HA formulations were found as 320.9 ± 25.9, 204.4 ± 10.6, 302.5 ± 28.2 nm and zeta potentials as 28.5 ± 0.611, −14.6 ± 2.01, −17.7 ± 0.305 mV, respectively. As a result of in vitro release studies, CS:TPP:HA formulation released the least HC at the end of 24 h at pH 7.4, which represents blood and healthy synovial fluid pH, higher HC release was provided in acidic pH representing inflamed tissue environment. The particle size of CS:TPP:HA nanoparticles didn't change significantly at pH 7.4, during in vitro stability studies. 6-month-stability study results showed that CS:TPP:HA was stable at 4 °C and 25° ± 60 % relative humidity, and cytotoxicity tests showed that it was noncytotoxic. To conclude, CS:TPP:HA nanoparticles are the most promising formulation among the three different nanoparticles that were suggested for rheumatoid arthritis treatment as a pH sensitive drug carrier. © 2025 Elsevier B.V.",,Final,,Scopus,2-s2.0-105008449169,[WARNING:NoKeywords]
Arra M.; Mozelewski-Hill S.; Kaser T.; Ancona R.; Asaro P.; Holthaus C.,Comparison of Initial Lactate Levels and Their Prognostic Utility in Obese and Nonobese Patients with Sepsis,2025,Journal of Emergency Medicine,10.1016/j.jemermed.2025.05.023,"Background: Sepsis is a high morbidity and mortality disease that is highly prevalent in emergency departments (EDs). Lactate is often utilized as a biomarker for sepsis, though its performance among subgroups such as obese patients is not well characterized. Given existing data on differences in lactate metabolism at baseline between obese and nonobese patients, this may be clinically relevant in sepsis identification and prognostication. Study Objective: We sought to compare differences in initial lactate measurements and lactate utility in predicting 30-day mortality between obese and nonobese body mass index (BMI) patients with vasopressor-dependent and non-vasopressor-dependent sepsis. Methods: We performed a retrospective cohort study of obese and nonobese patients presenting to an adult hospital ED with sepsis with organ dysfunction. Patients were separated into vasopressor-dependent or non-vasopressor-dependent groups. The primary outcomes were differences in initial lactate and utility of initial lactate in predicting 30-day all-cause mortality by employing receiver operator characteristic curves. Results: Obese patients had lower initial lactate (2.2 mmol/L) compared with nonobese patients (2.4 mmol/L) in the non-vasopressor-dependent cohort. Lactate performed poorly-to-moderately well as a biomarker for 30-day mortality between obese and nonobese patients with sepsis, with no differences between BMI groups. Conclusion: Initial lactate levels are lower in obese patients compared with nonobese patients, but are unlikely to be clinically significant. We found no difference in lactate's utility as a biomarker for prediction of 30-day all-cause mortality between obese and nonobese patients. Lactate overall maintains some utility as a predictor of sepsis mortality, though factors that contribute to lactate levels remain unclear. © 2025 The Author(s)",,Final,,Scopus,2-s2.0-105009837190,[WARNING:NoKeywords]
Haapala E.A.,"Identifying adolescents with increased cardiometabolic risk—Simple, but challenging",2025,Jornal de Pediatria,10.1016/j.jped.2024.10.001,[No abstract available],,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85207132593,[WARNING:NoKeywords]
Fu A.Y.; Abramyan A.; Nourollah-Zadeh E.; Gupta G.; Roychowdhury S.; Sundararajan S.,A unique case of cerebellar infarcts: Investigating the intersection of Type II proatlantal artery arising from the common carotid artery and cardiac malformations,2025,Journal of Stroke and Cerebrovascular Diseases,10.1016/j.jstrokecerebrovasdis.2024.108140,[No abstract available],,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85209072895,[WARNING:NoKeywords]
Koh H.B.; Kim H.J.; Kim H.W.; Chang T.I.; Park J.T.; Yoo T.-H.; Kang S.-W.; Han S.H.,Plasma Levels of Fibroblast Growth Factor 21 and Adverse Kidney Outcomes,2025,Mayo Clinic Proceedings,10.1016/j.mayocp.2024.10.026,"Objective: To investigate the association between fibroblast growth factor 21 (FGF21) and adverse kidney outcomes. Methods: From the prospective observational cohort study using data from the UK Biobank between March 13, 2006, and August 31, 2017, a total of 32,281 individuals with estimated glomerular filtration rate of 60 mL/min per 1.73 m2 and higher and urine albumin to creatinine ratio below 30 mg/g (cohort 1) and 3339 individuals with estimated glomerular filtration rate below 60 mL/min per 1.73 m2 or urine albumin to creatinine ratio of 30 mg/g and higher (cohort 2), all with baseline plasma FGF21 measurements, were included. The primary predictor was plasma FGF21 levels measured by proximity extension assay. The primary outcomes were incident chronic kidney disease (CKD) for cohort 1 and incident kidney failure requiring replacement therapy (KFRT) for cohort 2. Results: In cohort 1, 804 (5.6%) participants experienced the CKD outcome during a median 13.7 years of follow-up. A cause-specific competing model revealed adjusted hazard ratios with 95% CIs of 1.01 (0.88 to 1.17), 1.01 (0.87 to 1.17), and 1.25 (1.08 to 1.44) for Q2 to Q4 compared with Q1 (Ptrend=.002). In cohort 2, 83 (2.5%) participants had KFRT during a median 13.7 years of follow-up. Elevated FGF21 levels were similarly associated with a higher KFRT risk, with adjusted hazard ratios of 2.79 (0.97 to 8.05), 3.91 (1.44 to 10.66), and 3.81 (1.44 to 10.08) for Q2 to Q4 (Ptrend=.01). Subgroup analysis revealed stronger association in non-CKD participants with obesity and dyslipidemia, whereas for CKD participants, this association was stronger in those with increased inflammatory markers. Conclusion: Higher FGF21 levels correlated with heightened risks of adverse kidney outcomes in individuals with and without CKD. However, the metabolic abnormalities potentially influencing this association varied according to baseline kidney function. © 2024 Mayo Foundation for Medical Education and Research",,Final,,Scopus,2-s2.0-105009698811,[WARNING:NoKeywords]
Fulcher J.M.; Ives A.N.; Tasaki S.; Kelly S.S.; Williams S.M.; Fillmore T.L.; Zhou M.; Moore R.J.; Qian W.-J.; Paša-Tolić L.; Yu L.; Oveisgharan S.; Bennett D.A.; De Jager P.L.; Petyuk V.A.,Discovery of Proteoforms Associated With Alzheimer's Disease Through Quantitative Top-Down Proteomics,2025,Molecular and Cellular Proteomics,10.1016/j.mcpro.2025.100983,"The complex nature of Alzheimer's disease (AD) and its heterogenous clinical presentation has prompted numerous large-scale -omic analyses aimed at providing a global understanding of the pathophysiological processes involved. AD involves isoforms, proteolytic products, and posttranslationally modified proteins such as amyloid beta (Aβ) and microtubule-associated protein tau. Top-down proteomics directly measures these species and thus, offers a comprehensive view of pathologically relevant proteoforms that are difficult to analyze using traditional proteomic techniques. Here, we broadly explored associations between proteoforms and clinicopathological traits of AD by deploying a quantitative top-down proteomics approach across frontal cortex of 103 subjects selected from the ROS and MAP cohorts. The approach identified 1213 proteins and 11,782 proteoforms, of which 154 proteoforms had at least one significant association with a clinicopathological phenotype. One important finding included identifying Aβ C-terminal truncation state as the key property for differential association between amyloid plaques and cerebral amyloid angiopathy. Furthermore, various N-terminally truncated forms of Aβ had noticeably stronger association with amyloid plaques and global cognitive function. Additionally, we discovered six VGF neuropeptides that were positively associated with cognitive function independent of pathological burden. The database of brain cortex proteoforms provides a valuable context for functional characterization of the proteins involved in AD and other late-onset brain pathologies. © 2025 THE AUTHORS.",,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105010574199,[WARNING:NoKeywords]
