Authors,Title,Year,Source title,DI,Abstract,Author Keywords,Publication Stage,Open Access,Source,EID,OpenAlex_KW
Vardeny O.; Vaduganathan M.; Claggett B.L.; Desai A.S.; Jhund P.S.; Lam C.S.P.; Senni M.; Shah S.J.; Voors A.A.; Zannad F.; Pitt B.; Matsumoto S.; Merkely B.; Zieroth S.; Yilmaz M.B.; Lay-Flurrie J.; Viswanathan P.; Horvat-Broecker A.; Scalise A.; McMurray J.J.V.; Solomon S.D.,"Finerenone, Serum Potassium, and Clinical Outcomes in Heart Failure with Mildly Reduced or Preserved Ejection Fraction",2025,JAMA Cardiology,10.1001/jamacardio.2024.4539,"Importance: Treatment with finerenone, a nonsteroidal mineralocorticoid receptor antagonist (MRA), improved outcomes in patients with heart failure with mildly reduced or preserved ejection fraction in FINEARTS-HF, but was associated with increased levels of serum potassium in follow-up. Objective: To investigate the frequency and predictors of serum potassium level greater than 5.5 mmol/L and less than 3.5 mmol/L and examine the treatment effect associated with finerenone, relative to placebo, on clinical outcomes based on postrandomization potassium levels. Design, Setting, and Participants: Secondary analysis of the FINEARTS-HF multicenter, randomized clinical trial, performed between September 14, 2020, and January 10, 2023, with a median follow-up of 32 months (final date of follow-up: June 14, 2024). Patients with heart failure and left ventricular ejection fraction greater than or equal to 40%, New York Heart Association class II to IV symptoms, and elevated natriuretic peptides were included. Intervention: Participants received finerenone or placebo. Main Outcomes and Measures: The primary outcome was a composite of total worsening heart failure events or cardiovascular death. Results: A total of 6001 participants were included (3003 randomized to receive finerenone and 2998 randomized to receive placebo). The increase in serum potassium was greater in the finerenone group than the placebo group at 1 month (median [IQR] difference, 0.19 [0.17-0.21] mmol/L) and 3 months (median [IQR] difference, 0.23 [0.21-0.25] mmol/L), which persisted for the remainder of trial follow-up. Finerenone increased the risks of potassium level increasing to greater than 5.5 mmol/L (hazard ratio [HR], 2.16 [95% CI, 1.83-2.56]; P <.001) and decreased the risks for potassium level decreasing to less than 3.5 mmol/L (HR, 0.46 [95% CI, 0.38-0.56]; P <.001). Both low (< 3.5 mmol/L; HR, 2.49 [95% CI, 1.8-3.43]) and high (>5.5 mmol/L; HR, 1.64 [95% CI, 1.04-2.58]) potassium levels were associated with higher subsequent risks of the primary outcome in both treatment groups. Nevertheless, the risk of the primary outcome was generally lower in patients treated with finerenone compared with placebo, even in those whose potassium level increased to greater than 5.5 mmol/L. Conclusions and Relevance: In patients with heart failure with mildly reduced or preserved ejection fraction, finerenone resulted in more frequent hyperkalemia and less frequent hypokalemia. However, with protocol-directed surveillance and dose adjustment, clinical benefit associated with finerenone relative to placebo was maintained even in those whose potassium level increased to greater than 5.5 mmol/L. Trial Registration: ClinicalTrials.gov Identifier: NCT04435626.  © 2024 American Medical Association. All rights reserved.",,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85215147684,[WARNING:NoKeywords]
Wang P.; Gao X.; Willett W.C.; Giovannucci E.L.,"Socioeconomic Status, Diet, and Behavioral Factors and Cardiometabolic Diseases and Mortality",2024,JAMA Network Open,10.1001/jamanetworkopen.2024.51837,"Importance: It remains unclear how socioeconomic status (SES) is related to the association between diet and health, as well as the role of behavioral factors, in explaining socioeconomic disparities in health outcomes. Objective: To investigate the associations of neighborhood and individual SES factors, as well as behavioral factors, particularly dietary pattern, with health outcomes. Design, Setting, and Participants: This prospective cohort study included US health professionals without chronic diseases at baseline who were enrolled in the Health Professionals Follow-Up Study (calendar years 1988-2018), the Nurses' Health Study (calendar years 1992-2018), and the Nurses' Health Study II (calendar years 2001-2019). Data analysis was performed in September 2023. Exposures: Repeated questionnaires were used to assess neighborhood and individual SES factors and behavioral factors, including dietary pattern (assessed using the Alternative Healthy Eating Index 2010), alcohol intake, body mass index, cigarette smoking, physical activity, sedentary television-viewing time, and sleep duration. Main Outcomes and Measures: The main outcomes were incident major cardiovascular disease (CVD), type 2 diabetes (T2D), and total mortality. The associations of SES and behavioral factors with outcomes were analyzed using multivariable Cox proportional hazards regression models with hazard ratios (HRs) per 10th- to 90th-percentile increments. Results: The study analyzed 152192 participants for major CVD (mean [SD] age, 52.0 [8.7] years; 125 959 female [82.8%]), 151217 participants for T2D (mean [SD] age, 52.0 [8.6] years; 125 231 female [82.8%]), and 141145 participants for mortality (mean [SD] age, 51.6 [8.5] years; 117 627 female [83.3%]). A healthy dietary pattern was inversely associated with risk for major CVD (HR, 0.87 [95% CI, 0.82-0.93]), T2D (HR, 0.79 [95% CI, 0.75-0.84]), and total mortality (HR, 0.84 [95% CI, 0.81-0.88]). Without adjusting for neighborhood and individual SES factors, the HRs were 0.85 (95% CI, 0.80-0.91) for risk for major CVD, 0.78 (95% CI, 0.74-0.82) for T2D, and 0.82 (95% CI, 0.79-0.85) for total mortality. Neighborhood SES was inversely associated with risk for major CVD (HR, 0.90 [95% CI, 0.85-0.95]), T2D (HR, 0.92 [95% CI, 0.88-0.97]), and total mortality (HR, 0.91 [95% CI, 0.88-0.94]). Behavioral factors accounted for a large proportion of the associations with risk for major CVD (46.3% [95% CI, 32.5%-60.6%]), T2D (77.4% [95% CI, 64.5%-86.6%]), and total mortality (42.8% [95% CI, 32.9%-53.3%]). Conclusions and Relevance: In this prospective cohort study of health professionals, associations between diet and health outcomes remained similar without adjusting for SES factors, while health behaviors, including diet, accounted for a large proportion of the associations between neighborhood SES and health. These findings highlight the importance of health behaviors, particularly high-quality diets, in promoting individual health and possibly reducing health disparities associated with SES.  © 2024Wang P et al. JAMA Network Open.",,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85213561488,[WARNING:NoKeywords]
Berning P.; Adhikari R.; Schroer A.E.; Jelwan Y.A.; Razavi A.C.; Blaha M.J.; Dzaye O.,Longitudinal Analysis of Obesity Drug Use and Public Awareness,2025,JAMA Network Open,10.1001/jamanetworkopen.2024.57232,"Importance: Obesity, a chronic disease with escalating global prevalence, poses considerable health risks. Glucagon-like peptide 1 receptor agonists (GLP-1RAs), including liraglutide, semaglutide, and tirzepatide, have demonstrated efficacy for weight loss in clinical trials. The paradigm shift in the approach to obesity management drugs (OMDs) may offer an opportunity to examine online search activity and prescription trends. Objective: To investigate prescription patterns and online search trends for OMD and correlating usage dynamics with public engagement regarding these medications. Design, Setting, and Participants: This repeated cross-sectional study analyzed online searches and corresponding data for dispensed prescriptions derived from the IQVIA National Prescription Audit, a comprehensive audit capturing approximately 90% of US retail prescription dispensing that is then projected to population-level data. Data from online searches and on prescriptions from the National Prescription Audit for US Food and Drug Administration-approved OMDs were collected from July 1, 2017, through February 29, 2024. This population-level analysis included all eligible individuals using either the Google search engine or receiving prescriptions. Exposures: US monthly query fractions as online searches per 10 million total searches and monthly prescriptions dispensed for OMDs. Main Outcome and Measures: Trends in OMD prescriptions and online searches were visually analyzed, and quantitative correlations were calculated using Spearman rank correlation. Results: During the study period, 69 213 936 prescriptions for OMDs were dispensed in the US, with an overall increase of 0.76 to 0.80 million from July 2017 to June 2018 and 1.29 to 1.51 million from March 2023 to February 2024 and a mean (SD) annual growth rate of 5.3% (9.4%). Total monthly OMD prescriptions reached 1.5 million in February 2024, accounting for 0.41% of all prescriptions that month. Phentermine, semaglutide (Wegovy; Novo Nordisk), liraglutide (Saxenda; Novo Nordisk), and tirzepatide (Zepbound; Eli Lilly) were most prescribed. By February 2024, phentermine had approximately 0.74 million monthly prescriptions, Wegovy had 0.42 million, and Zepbound had 0.25 million. Most prescriptions were issued by advanced practice practitioners (APP) and primary care physicians (PCPs) and internists. The APPs' share increased from 25.3% in July 2017 to 40.6% in February 2024, while PCPs' and internists' share decreased from 57.9% to 48.1%. Wegovy's share of total OMDs increased to 27.7% and 28.3% and Zepbound's share to 16.1% and 16.5% (both February 2024) among APPs and PCPs and internists, respectively. Phentermine's dropped from 86.3% and 85.1% (July 2017) to 50.8% and 49.7% (February 2024), respectively. Online searches per 10 million reflected prescription trends, with Wegovy at 636.3, Zepbound at 468.9, and phentermine at 301.8 (all February 2024). The strongest correlations between prescriptions and search volumes were observed for semaglutide (Wegovy; r = 0.97) and tirzepatide (Zepbound; r = 0.90). Conclusions and Relevance: This repeated cross-sectional study shows the dynamic growth and evolving share of new obesity medications since 2017 and a significant shift toward semaglutide and tirzepatide prescribing. The joint surge in prescriptions and online searches and their close correlation highlight the real-time associations between public awareness and prescription trends.  © 2025 Berning P et al. JAMA Network Open.",,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85217273921,[WARNING:NoKeywords]
Ashruf O.S.; Hundal J.; Mushtaq A.; Kaelber D.C.; Anwer F.; Singh A.,Hematologic Cancers among Patients with Type 2 Diabetes Prescribed GLP-1 Receptor Agonists,2025,JAMA Network Open,10.1001/jamanetworkopen.2025.0802,[No abstract available],,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-86000512693,[WARNING:NoKeywords]
Jeong D.; Wong S.; Karim M.E.; Manges A.R.; Makuza J.D.; Velásquez García H.A.; Adu P.A.; Binka M.; Yu A.; Bartlett S.R.; Krajden M.; Janjua N.Z.,Direct-Acting Antivirals and Risk of Hepatitis C Extrahepatic Manifestations,2025,JAMA Network Open,10.1001/jamanetworkopen.2025.14631,"Importance: Hepatitis C virus (HCV) infection is associated with various extrahepatic manifestations (EHMs) that can significantly impact patients' quality of life and overall health outcomes. Objective: To assess the association between successful direct-acting antiviral (DAA) treatment and the risk of EHMs in individuals with chronic HCV infection. Design, Setting, and Participants: This population-based retrospective cohort study used data from 1990 to 2021, with a median follow-up of 2.5 years for outcome assessment. People treated with DAAs were matched to those who were never treated by year of HCV diagnosis and inverse probability of treatment weights (IPTW) were estimated to adjust for differences in baseline characteristics between treated and untreated people. The study took place in British Columbia, Canada, using the BC Hepatitis Testers Cohort, which includes more than 1300000 people tested for HCV between 1990 to 2015. Data were analyzed from February 2024 to March 2025. Exposure: Successful HCV treatment with DAAs, defined as achieving sustained virologic response (SVR). Main Outcomes and Measures: Incidence of 5 groups of EHMs: chronic kidney disease and end-stage kidney disease (CKD and ESKD), type 2 diabetes (T2D), stroke, major adverse cardiac events (MACE), and neurocognitive disorders (NCD). Results: Of 22576 individuals included in this study (mean [SD] age at HCV diagnosis, 42.0 [12.0] years; 14950 male [66.2%]), 11953 received DAA treatment and achieved SVR, 386 received treatment but did not achieve SVR, and 10237 never received treatment. The incidence rates (per 1000 person-years) in untreated vs treated with SVR groups were: 21.0 (95% CI, 19.0-23.1) vs 14.7 (95% CI, 13.4-16.1) for CKD and ESKD, 8.9 (95% CI, 7.7-10.2) vs 6.3 (95% CI, 5.5-7.2) for stroke, 26.7 (95% CI, 24.5- 29.1) vs 19.3 (95% CI, 17.8-20.9) for MACE, 19.2 (95% CI, 17.3-21.2) vs 10.3 (95% CI, 9.2-11.5) for NCD, and 6.4 (95% CI, 5.4-7.7) vs 9.2 (95% CI, 8.1-10.4) for T2D. In multivariable IPTW-weighted regression models, successful DAA treatment was associated with lower risk of CKD and ESKD (adjusted cause-specific hazard ratio [acsHR], 0.54; 95% CI, 0.47-0.63), stroke (acsHR, 0.66; 95% CI, 0.54-0.81), MACE (acsHR, 0.58; 95% CI, 0.52-0.66), and NCD (acsHR, 0.52; 95% CI, 0.45-0.61) compared with no treatment. However, no significant association was found for T2D (acsHR, 1.04; 95% CI, 0.84-1.29). Conclusions and Relevance: In this cohort study of 22576 individuals with chronic HCV infection, successful HCV treatment with DAAs was associated with lower risk of several EHMs. These findings highlight the importance of early HCV screening and treatment to prevent EHMs and improve overall health outcomes. © 2025 American Medical Association. All rights reserved.",,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105008289790,[WARNING:NoKeywords]
Berkowitz S.A.; Ochoa A.; Kuhn M.L.; Dankovchik J.; Donovan J.M.; LaPoint M.; Gao M.; Basu S.; Hudgens M.G.; Gold R.,Housing Instability and Type 2 Diabetes Outcomes,2025,JAMA network open,10.1001/jamanetworkopen.2025.4852,"Importance: Housing instability may worsen control of type 2 diabetes outcomes. Objective: To estimate the association between stable vs unstable housing and type 2 diabetes outcomes. Design, Setting, and Participants: This cohort study analyzed electronic health record data of adults with type 2 diabetes from US community-based health centers from June 2016 to April 2023. Targeted minimum loss estimation was used to examine the association between having vs not having housing instability and subsequent type 2 diabetes outcomes, adjusting for age, date of housing instability assessment, sex, race and ethnicity (social constructs that may indicate the experience of racism), language, comorbidities, health insurance, income, and census-tract level social vulnerability index. Analyses were conducted from July 2023 to September 2024. Exposure: Report of housing stability or instability. Main Outcomes and Measures: Mean hemoglobin A1c (HbA1c) level was the primary outcome; secondary outcomes included systolic and diastolic blood pressure (SBP and DBP) and low-density lipoprotein (LDL) cholesterol. The primary time point was 12 months after initial assessment, with secondary time points at 6, 18, 24, 30, and 36 months. Results: A total of 90 233 individuals were included (mean [SD] age, 55.4 [13.7] years; 50 772 female [56.3%]; 25 602 Black [28.4%], 27 277 Hispanic [31.4%], 51 720 White [57.3%]); 28 784 individuals (31.9%) had a primary language other than English, and 15 713 (17.4%) reported housing instability. Prior to first housing instability assessment, mean (SD) HbA1c was 7.64% (1.94%), mean (SD) SBP was 130.0 (13.5) mm Hg, mean (SD) DBP was 78.2 (7.8) mm Hg, and mean (SD) LDL cholesterol was 101.1 (35.2) mg/dL. We estimated had all individuals experienced stable housing, compared with unstable housing, mean HbA1c would have been 0.12% lower (95% CI, -0.16% to -0.07%; P < .001), SBP would have been 0.77 mm Hg lower (95% CI, -1.14 mm Hg to -0.39 mm Hg; P < .001), and DBP 0.27 mm Hg lower (95% CI, -0.49 mm Hg to -0.06 mm Hg; P = .01), but LDL cholesterol would not have been lower (estimated difference, -1.46 mg/dL, 95% CI, -2.96 mg/dL to 0.03 mg/dL; P = .05) at 12 months, with numerically similar results at other time points. Conclusions and Relevance: In this cohort study, housing stability was associated with small differences in type 2 diabetes outcomes; combining housing stability interventions with other diabetes interventions may be needed to improve type 2 diabetes outcomes more substantially.",,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105003513213,[WARNING:NoKeywords]
Gutierrez Velez M.; Bearfield L.; Chen A.; Havunjian M.; Whiteside H.; Callahan K.; Rigdon J.; Ong S.S.,An Automated Frailty Index and Loss to Follow-Up among Patients with Diabetic Retinopathy,2025,JAMA Network Open,10.1001/jamanetworkopen.2025.6920,[No abstract available],,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105004332357,[WARNING:NoKeywords]
Bond M.; Tomelleri A.; Reatini M.A.; Campochiaro C.; Cattani G.; Dagna L.; Rossini M.; Dejaco C.; Adami G.,Impact of Exposure to Environmental Particulate Matter on the Onset of Giant Cell Arteritis,2025,Arthritis Care and Research,10.1002/acr.25404,"Objective: The aim of this study was to investigate the association between exposure to particulate matter with an aerodynamic diameter ≤10 μm (PM10) and the development of giant cell arteritis (GCA) and its ischemic complications. Methods: This was case-crossover study on consecutive patients who received a diagnosis of GCA in three hospitals in northern Italy between 2013 and 2021. The PM10 hourly and daily average concentrations, collected in the Italian monitoring network and archived by Istituto Superiore per la Protezione e la Ricerca Ambientale, were determined using European reference. We used a Bayesian hierarchical model to determine patients’ daily exposures to them. We employed conditional logistic regression to estimate the effect of exposure on GCA symptoms onset or ischemic complications. Results: We included 232 patients. A positive association was observed between exposure to PM10 and GCA risk, with an incremental odd of 27.1% (95% confidence interval 5.8–52.6) for every 10-μg/m3 increase in PM10 concentration within a 60-day period. We did not find any significant association for shorter periods or with ischemic complications. Subgroup analysis found a significantly higher incremental risk at a 60-day lag for patients ≥70 years old. Comparing patients who were chronically exposed to high PM10 levels (26.9 ± 13.8 μg/m3) to those who were not (11.9 ± 7.9 μg/m3) revealed that only in the former group was there an association between GCA onset and increased PM10 levels in the preceding 60 days. Conclusion: Exposure to environmental PM10 in the preceding 60 days seems to be associated with an increased risk of developing GCA, especially in older individuals with prolonged exposure to high levels of air pollution. © 2024 American College of Rheumatology.",,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85201003595,[WARNING:NoKeywords]
Lu P.; Tsang T.; Badowski M.S.; Pennington M.E.; Meade-Tollin L.C.,Evaluation of the Clinical Safety of the Low-Cost Warburg Therapy for the Treatment of Patients With Advanced Cancers,2024,Cancer Medicine,10.1002/cam4.70469,"Background: Rising cancer care costs are becoming cost prohibitive for lower income people worldwide. We developed the Warburg protocol as a low-cost option for the treatment of cancer that was inspired. It was developed to exploit an Achilles heel which is a hallmark of cancer cells; the metabolic requirement for higher levels of glucose than normal cells. Objective: The purpose of this report is to assess the clinical safety and affordability of the Warburg therapy as an option for patients with advanced cancers. Methods: Between 2021 and 2023, 251 patients with advanced cancers received a total of 8542 treatments with the Warburg therapy. To restrict the supply of blood glucose to cancerous tumors, regular human insulin was administered (IV) sufficient to reduce blood glucose concentrations to hypoglycemic levels for 40–60 min. Subroutine doses of fluorouracil and cyclophosphamide were administered intravenously during this hypoglycemic period. Food or intravenous glucose was given as needed to return blood glucose to euglycemic levels after treatment. Patient symptoms, status, vitals, blood glucose, and hypoglycemic symptoms were monitored throughout treatment. Various blood parameters were measured before and after patients' course of treatment. Results: There were no irreversible adverse reactions in advanced tumor patients of different ages and different cancer types after treatment. There was no significant fluctuation in blood glucose levels in diabetic and non-diabetic patients after treatment, and the weight, vital index and blood biochemical index of patients before and after multiple treatments exhibited little variation. Conclusion: Warburg therapy for the treatment of advanced tumors is clinically feasible, and safe for multiple treatments. It is inexpensive and widely applicable to different patient groups. © 2024 The Author(s). Cancer Medicine published by John Wiley & Sons Ltd.",,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85211128967,[WARNING:NoKeywords]
Wang W.; Huang Y.; Shen J.; Jin L.; Chen Z.,"Associations Between Serum IL-17A, Renal Function and Diabetic Retinopathy in Type 2 Diabetes Mellitus: Evidence From a Chinese Han Population",2025,"Endocrinology, Diabetes and Metabolism",10.1002/edm2.70033,"Background: Evidence suggested that IL-17A was associated with renal function in type 2 diabetes. We used ultra-sensitive measurement to detect the concentration of IL-17A in human peripheral blood and explored the association of IL-17A with diabetic kidney disease (DKD). Methods: We recruited 138 participants from the Shanghai Diabetes Institute Inpatient Database of Shanghai Jiao Tong University Affiliated Sixth People's Hospital. Eighty-four individuals diagnosed as DKD were cases, and 54 type 2 diabetes individuals without DKD or diabetic retinopathy (DR) were controls. The concentration of serum IL-17A was detected by the High Sensitivity Immunoassay Quantitative Kit. Data was analysed by SAS. Results: The concentration of serum IL-17A in our population ranged from 0.07 pg/mL to 2.96 pg/mL with the median of 0.502 pg/mL. Our results suggested that the level of serum IL-17A in DKD case group was higher than in the control (P unadjusted = 0.0496, P adjusted = 0.0298). And serum creatinine, eGFR, ACR were used as indicators of renal function. Serum creatinine and ACR were positive correlated with the level of serum IL-17A (P adjusted = 0.0148; P adjusted = 0.0369), while eGFR showed a negative correlation (P adjusted = 0.0167). Additionally, the level of serum IL-17A was also significantly higher in DR case group compared with the control group (p = 0.0224). Conclusion: Serum IL-17A level is associated with renal function decline and diabetic retinopathy in patients with type 2 diabetes in a Chinese Han population. Our results suggested that IL-17A may be a potential biomarker of DKD and DR. © 2025 The Author(s). Endocrinology, Diabetes & Metabolism published by John Wiley & Sons Ltd.",,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85218968588,[WARNING:NoKeywords]
