Authors,Title,Year,Source title,DI,Abstract,Author Keywords,Publication Stage,Open Access,Source,EID,OpenAlex_KW
Avelino-Silva T.J.; Lee S.J.; Covinsky K.E.; Walter L.C.; Deardorff W.J.; Boscardin J.; Campora F.; Szlejf C.; Suemoto C.K.; Smith A.K.,External Validation of the Walter Index for Posthospitalization Mortality Prediction in Older Adults,2025,JAMA Network Open,10.1001/jamanetworkopen.2024.55475,"Importance: The Walter Index is a widely used prognostic tool for assessing 12-month mortality risk among hospitalized older adults. Developed in the US in 2001, its accuracy in contemporary non-US contexts is unclear. Objective: To evaluate the external validity of the Walter Index in predicting posthospitalization mortality risk in Brazilian older adult inpatients. Design, Setting, and Participants: This prognostic study used data from a cohort of adults aged 70 years or older admitted to the geriatric unit of a university hospital in Brazil from January 1, 2009, to February 28, 2020. Participants underwent comprehensive geriatric assessments at admission, were reevaluated at discharge, and were subsequently followed up for 48 months. Data were analyzed from March to July 2024. Main Outcomes and Measures: The Walter Index, a score based on 6 risk factors (male sex, dependent activities of daily living at discharge, heart failure, cancer, high creatinine level, and low albumin level), was calculated to assess its predictive accuracy for 12-month mortality as well as 6-, 24-, and 48-month mortality. The study investigated whether incorporating delirium, frailty, or C-reactive protein level enhanced accuracy. Performance was assessed using discrimination, calibration, and clinical utility measures. Results: In total, 2780 participants (mean [SD] age, 81 [7] years; 1795 [65%] female) were included, with 89 (3%) lost to follow-up. The 12-month posthospitalization mortality rate was 23% (646 participants). Mortality was 7% (47 of 634) in the lowest-risk group (0-1 point), 17% (111 of 668) for 2 to 3 points, 25% (198 of 803) for 4 to 6 points, and 43% (290 of 675) in the highest-risk group (≥7 points). The index demonstrated an area under the receiver operating characteristic curve (AUC) of 0.714 (95% CI, 0.691-0.736) for predicting 12-month posthospitalization mortality (AUCs were 0.75 and 0.80 in the original derivation and validation cohorts, respectively). Comparable results were observed for mortality at 6 months (AUC, 0.726; 95% CI, 0.700-0.752), 24 months (AUC, 0.711; 95% CI, 0.691-0.730), and 48 months (AUC, 0.719; 95% CI, 0.700-0.738). Adding delirium modestly increased the index's discrimination (AUC, 0.723; 95% CI, 0.702-0.749); additionally including frailty and C-reactive protein level did not improve discrimination further (AUC, 0.723; 95% CI, 0.701-0.744). Conclusions and Relevance: In this prognostic study of hospitalized older adults in Brazil, the Walter Index showed similar discrimination in predicting postdischarge mortality as it did 2 decades ago in the US. These findings highlight the need for continuous validation and potential modification of established prognostic tools to improve their applicability across settings.. © 2025 American Medical Association. All rights reserved.",,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85216539452,[WARNING:NoKeywords]
Richters L.; Gluz O.; Weber-Lassalle N.; Christgen M.; Haverkamp H.; Kuemmel S.; Kayali M.; Kates R.E.; Grischke E.-M.; Altmüller J.; Forstbauer H.; Thiele H.; Braun M.; Warm M.; Ossowski A.; Wuerstlein R.; Ernst C.; Graeser M.; Linn S.C.; Nitz U.; Hauke J.; Kreipe H.H.; Schmutzler R.K.; Hahnen E.; Harbeck N.,"Genetic Alterations, Therapy Response, and Survival among Patients with Triple-Negative Breast Cancer: A Secondary Analysis of a Randomized Clinical Trial",2025,JAMA Network Open,10.1001/jamanetworkopen.2024.61639,"Importance: Subgroup definitions for possible deescalation of neoadjuvant cancer treatment are urgently needed in clinical practice. Objective: To investigate the effect of BRCA1 and/or BRCA2 tumor pathogenic variants (tPVs) by comparing 2 deescalated neoadjuvant regimens (nab-paclitaxel plus either carboplatin or gemcitabine) on pathologic complete response (pCR), invasive disease-free survival (IDFS), and overall survival (OS) of patients with early-stage triple-negative breast cancer (TNBC). Design, Setting, and Participants: This was a preplanned secondary analysis of a phase 2 prospective randomized clinical trial (ADAPT-TN) conducted by the West German Study Group (WSG) at 45 sites in Germany between June 2013 and February 2015. The trial enrolled patients with noninflammatory early-stage TNBC (clinical tumor size ≥1 cm; estrogen receptor and progesterone receptor expression <1%; and ERBB2 negative). DNA samples from pretreatment biopsies were obtained. Genetic analysis was performed between January 2018 and March 2020. Final data analyses took place in September 2023. Exposure: Patients were randomized to 12 weeks of treatment with nab-paclitaxel plus either carboplatin or gemcitabine; omission of otherwise mandatory anthracycline-containing chemotherapy was allowed in the case of pCR. tPVs in 20 cancer-associated genes, including BRCA1 and BRCA2, were analyzed using a customized gene panel. Main Outcomes and Measures: The prevalence of BRCA1 and/or BRCA2 tPVs and their effect on pCR rate, IDFS, and OS were evaluated using logistic and Cox proportional hazards regression. Results: Of the 307 patients with DNA samples from pretreatment biopsies available, tumor next-generation sequencing analyses were successful for 266 patients. The 266 patients included in this analysis were female, with a median age of 51 years (range, 26-76 years). A total of 162 patients (60.9%) had a clinical tumor size of 2 cm or greater, and 70 (26.3%) had clinical node-positive disease. BRCA1 and/or BRCA2 tPVs were detected in 42 patients (15.8%). The highest pCR rate among patients with BRCA1 and/or BRCA2 tPVs was seen in the nab-paclitaxel plus carboplatin group (9 of 14 patients [64.3%]) compared with the nab-paclitaxel plus gemcitabine group (10 of 28 [35.7%]) (odds ratio, 3.24 [95% CI, 0.85-12.36]; P =.08); the highest numeric 5-year IDFS and OS rates (84.4% and 92.9%, respectively) were seen in the nab-paclitaxel plus carboplatin group. Conclusions and Relevance: In this secondary analysis of the WSG-ADAPT-TN randomized clinical trial on tPVs, deescalated nab-paclitaxel plus carboplatin was superior to nab-paclitaxel plus gemcitabine, particularly in patients with BRCA1 and/or BRCA2 tPVs. These findings suggest that BRCA1 and/or BRCA2 tPV status could be a candidate marker for a deescalation strategy in early-stage TNBC; however, prospective validation of survival outcomes in larger cohorts with differentiation between germline and somatic pathogenic variants is necessary. Trial Registration: ClinicalTrials.gov Identifier: NCT01815242.  © 2025 Richters L et al. JAMA Network Open.",,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-86000000790,Carboplatin; Taxane; Triple-negative breast cancer
Feng Y.; Jun M.; Wang A.Y.; Ren S.; Weisbord S.D.; Bellomo R.; Ostermann M.; Arnott C.; Gallagher M.,Predicting Contrast-Associated Acute Kidney Injury,2025,JAMA Network Open,10.1001/jamanetworkopen.2025.0107,[No abstract available],,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-86000664595,[WARNING:NoKeywords]
Yajima S.; Hirose K.; Masuda H.,Enfortumab Vedotin with or Without Pembrolizumab in Metastatic Urothelial Carcinoma: A Systematic Review and Meta-Analysis,2025,JAMA Network Open,10.1001/jamanetworkopen.2025.0250,"Importance: Metastatic urothelial carcinoma (mUC) presents a therapeutic challenge with poor outcome. Enfortumab vedotin has emerged as a promising treatment, necessitating a comprehensive evaluation of its effectiveness and safety. Objective: To synthesize the available evidence on enfortumab vedotin, both as monotherapy and in combination with pembrolizumab, as an mUC treatment for the purpose of guiding clinical decision-making and future research. Data Sources: Cochrane Library, MEDLINE (via PubMed), Google Scholar, and Web of Science were searched from database inception to August 31, 2024. Major conference abstracts from 2019 to 2024 were also included. Search strategy used a combination of Medical Subject Heading terms and free-text keywords related to mUC and enfortumab vedotin. Study Selection: Randomized clinical trials and prospective studies investigating enfortumab vedotin in adult patients with mUC were included. Eleven studies met the inclusion criteria. Data Extraction and Synthesis: Two independent reviewers extracted data and assessed study quality using the Cochrane Risk of Bias tool 2 and Risk of Bias in Non-Randomized Studies of Interventions tool. The meta-analysis used a random effects model, while a network meta-analysis was performed using a frequentist approach. Main Outcomes and Measures: Primary outcomes were disease control rate (DCR), objective response rate (ORR), and 1-year survival rate. Results: The 11 included studies (3 randomized clinical trials [27.3%] and 8 nonrandomized prospective studies [72.7%]) involved 2128 patients. Of these patients, 563 (26.5%) received enfortumab vedotin plus pembrolizumab, 814 (38.3%) received enfortumab vedotin without pembrolizumab, and 751 (35.3%) received chemotherapy. Enfortumab vedotin plus pembrolizumab was associated with a pooled DCR of 86% (95% CI, 83%-89%), ORR of 68% (95% CI, 64%-71%), and a 1-year survival rate of 79% (95% CI, 75%-82%). Enfortumab vedotin monotherapy had a pooled DCR of 73% (95% CI, 70%-76%), ORR of 43% (95% CI, 40%-47%), and a 1-year survival rate of 52% (95% CI, 48%-56%). Network meta-analysis revealed that enfortumab vedotin plus pembrolizumab significantly outperformed chemotherapy in ORR (odds ratio [OR], 3.47; 95% CI, 1.49-8.09; P =.004) and 1-year survival (OR, 2.32; 95% CI, 1.75-3.06; P <.001). Conclusions and Relevance: In this systematic review and meta-analysis, enfortumab vedotin plus pembrolizumab showed high response rates in first-line settings, while enfortumab vedotin monotherapy was associated with clinical benefit in later lines of therapy. These findings underscore the importance of personalized treatment approaches, and future research is warranted to refine enfortumab vedotin-based therapies for mUC management.  © 2025 Yajima S et al.",,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105000198004,[WARNING:NoKeywords]
Xu X.; Kwon J.; Yan R.; Apio C.; Song S.; Heo G.; Yang Q.; Timsina J.; Liu M.; Budde J.; Blennow K.; Zetterberg H.; Lleó A.; Ruiz A.; Molinuevo J.L.; Lee V.M.-Y.; Deming Y.; Heslegrave A.J.; Hohman T.J.; Pastor P.; Peskind E.R.; Albert M.S.; Morris J.C.; Park T.; Cruchaga C.; Sung Y.J.,Sex Differences in Apolipoprotein e and Alzheimer Disease Pathology Across Ancestries,2025,JAMA Network Open,10.1001/jamanetworkopen.2025.0562,"Importance: Age, sex, and apolipoprotein E (APOE) are the strongest risk factors for late-onset Alzheimer disease (AD). The role of APOE in AD varies with sex and ancestry. While the association of APOE with AD biomarkers also varies across sex and ancestry, no study has systematically investigated both sex-specific and ancestry differences of APOE on cerebrospinal fluid (CSF) biomarkers together, resulting in limited insights and generalizability. Objective: To systematically investigate the association of sex and APOE-ϵ4 with 3 core CSF biomarkers across ancestries. Design, Setting, and Participants: This cohort study examined 3 CSF biomarkers (amyloid β1-42 [Aβ42], phosphorylated tau 181 [p-tau], and total tau, in participants from 20 cohorts from July 1, 1985, to March 31, 2020. These individuals were grouped into African, Asian, and European ancestries based on genetic data. Data analyses were conducted from June 1, 2023, to November 10, 2024. Exposure: Sex (male or female) and APOE-ϵ4. Main Outcomes and Measures: The associations of sex and APOE-ϵ4 with biomarker levels were assessed within each ancestry group, adjusting for age. Meta-analyses were performed to identify these associations across ancestries. Sensitivity analyses were conducted to exclude the potential influence of the APOE-ϵ2 allele. Results: This cohort study included 4592 individuals (mean [SD] age, 70.8 [10.2] years; 2425 [52.8%] female; 119 [2.6%] African, 52 [1.1%] Asian, and 4421 [96.3%] European). Higher APOE-ϵ4 dosage scores were associated with lower Aβ42 values (β [SE], -0.58 [0.02], P <.001), indicating more severe pathology; these associations were seen in men and women separately and jointly. The association with APOE-ϵ4 was statistically greater in men (β [SE], -0.63 [0.03]; P <.001) vs women (β [SE], -0.52 [0.03]; P <.001) of European ancestry (P =.01 for interaction). Women had higher levels of p-tau, indicating more severe neurofibrillary pathology. The association between APOE-ϵ4 dosage and p-tau was in the expected direction (higher APOE-ϵ4 dosage for higher p-tau values) in both sexes, but the difference between sexes was significant only in those of African ancestry (β [SE], 0.10 [0.18]; P =.57 for men; β [SE], 0.66 [0.17]; P <.001 for women; P =.03 for interaction). Women also had higher levels of total tau, indicating more neuronal damage. The association between APOE-ϵ4 dosage and total tau was stronger in women than in men in the African cohort (β [SE], 0.20 [0.22]; P =.36 for men and β [SE], 0.65 [0.22], P =.004 for women [P =.16 for interaction]) and European cohort (β [SE], 0.36 [0.03]; P <.001 in women and β [SE], 0.27 [0.03], P <.001 in men [P =.053 for interaction]); no significant associations were found in the Asian cohort. Sensitivity analysis excluding APOE-ϵ2 carriers yielded similar results. Conclusions and Relevance: In this cohort study, the association of the APOE-ϵ4 risk allele with tau accumulation was higher in women than in men. These findings underscore the importance of considering sex differences in APOE-ϵ4's association with AD biomarkers and tau pathology mechanisms in AD. Although this study provides robust evidence of complex interplay between sex and APOE-ϵ4 for European ancestry, further research is needed to fully understand other ancestry differences.  © 2025 Xu X et al.",,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105000201515,Apolipoprotein E
"Adams D.; Wixner J.; Polydefkis M.; Berk J.L.; Conceição I.M.; Dispenzieri A.; Peltier A.; Ueda M.; Bender S.; Capocelli K.; Jay P.Y.; Yureneva E.; Obici L.; Vita G.; Rizzo V.; Russo M.; Mazzeo A.; Gentile L.; Wiesman J.; Kaku M.; Lau V.; DeLong D.; Dalton J.; May J.; Attarian S.; Delmont E.; Pouget J.; Verschueren A.; Grapperon A.-M.; Campana-Salort E.; Neves C.; Santos M.O.; de Azevedo Coutinho C.; Falcao de Campos C.; Coelho T.; Reis A.H.; Correia N.; Perez J.M.; Martins da Silva A.; Alves C.; Cardoso M.; Valdrez K.; Monte J.R.; Nováis M.; Guimaraes N.; Cardoso I.; Freitas M.; Ramalho J.; Ferreira N.; Kuzume D.; Yamasaki M.; Morimoto Y.; Tard C.; Hachulla E.; Gauvain C.; Migaud-Chervy M.-C.; Deplanque D.; Jozefowicz E.; Lebellec L.; Théaudin-Saliou M.; Cauquil-Michon C.; Labeyrie C.; Not A.; Al-Salameh A.; Lecoq A.-L.; Stephant M.; Echaniz-Laguna A.; Becquemont L.; Beaudonne G.; Algalarrondo V.; Eliahou L.; Slama M.S.; Rousseau A.; Signate A.; Darche P.; Grimaud J.; Berthelot E.; Inamo J.; Planté-Bordeneuve V.; Gendre T.; Arrouasse R.; Ayache S.S.; Ernande L.; Le Corvoisier P.; Salhi H.; Choumert A.; Charlin C.; Megelin T.; Brannagan T.H., III; Tsang S.; Wajnsztajn F.; Shije J.; Ulane C.; Kleyman I.; Weimer L.; Cioroiu C.; Kleopa K.; Zamba-Papanicolaou E.; Tada S.; Nagai M.; Ando R.; Yamanishi Y.; Overcash J.S.; Green S.; Waters M.; Coskun D.J.; Manos P.; Zepeda K.A.; O'Riordan W.; Cortese A.; Lozza A.; Merlini G.; Rosti V.; Sabatelli M.; Bisogni G.; Bernardo D.; Luigetti M.; Di Paolantonio A.; Guglielmino V.; Romano A.; Nienhuis H.; Kristen A.V.; Nagel C.; aus dem Siepen F.; Hein S.; Neshige S.; Campistol J.M.; Rodas Marin L.M.; Blasco Pelicano J.M.; Galán Dávila L.; Pytel Cordoba V.H.; Sola A.G.; García Feijoo J.H.; Perez de Isla L.W.; Marques W.J., Jr.; Lavigne Moreira C.M.; Daccach Marques V.M.; Munoz Beamud F.H.; Borrachero C.; López I.A.L.; Sanz M.; Rigo Oliver E.J.; González Moreno J.B.; Gamez Martinez J.M.; Descals C.; Uson M.; Vega F.J.; Figuerola A.; Montala C.; Waddington-Cruz M.; Souza de Abreu A.; Dias da Silva M.; Gervais de Santa Rosa R.M.; Pinto M.V.; Berensztejn A.C.; Felipe Pinto L.; de Andrade Guedes M.M.; Barroso F.; Lautre A.; Orellana L.G.; González-Duarte Briseño M.A.; Cárdenas-Soto K.; Cantú Brito C.G.; Rivera de la Parra D.; Hernandez Reyes J.P.; Saniger Alba M.D.M.; Parman Y.; Sahin E.; Serbest N.G.; Durmus H.; Cakar A.; Karamursel S.; Elitok A.; Sirin Inan N.G.; Altinkurt E.; Allen A.C.; Chaudhry V.; Jarrett R.; Bressler N.; Singh M.; Khoshnoodi M.; Judge D.P.; Lui A.T.; Chung T.H.; Vista G.; Shah S.M.; Hamaguchi H.; Oda T.; Shimomura M.; Scheid C.; Holtick U.; Oh J.; Kim H.J.; Shin H.J.; Choi K.; Misumi Y.; Nomura T.; Tateishi T.; Mauricio E.A.; Dimberg E.; Cooper L.T.; Fonder A.; Hobbs M.; Dyck P.; Gonsalves W.; Leung N.; Witzig T.E.; Hwa L.; Kapoor P.; Kumar S.K.; Lin Y.; Rajkumar V.S.; Dingli D.; Gertz M.A.; Gove L.; Dalia S.; Croy D.; Holding T.; Gorevic P.; Chao C.-C.; Lee M.-J.; Su J.-J.; Hsieh S.-T.; Tsai L.-K.; Yeh S.-J.; Yang C.-C.; Lin C.-W.; Ajroud-Driss S.; Sufit R.; Li J.-M.; Freimer M.; LoRusso S.; Aso Y.; Kim B.-J.; Kim J.; Lee G.Y.; Cho E.B.; Jeon E.-S.; Min J.-H.; Seok J.M.; Lee H.L.; Park J.H.; Sekijima Y.; Kato N.; Kishida D.; Hineno A.; Kodaira M.; Yoshinaga T.; Takasone K.; Miyahara T.; Takahashi Y.; Imai A.; Matsumoto K.; Lin K.-P.; Lee Y.-C.; Pilebro B.; Suhr O.; Anan I.; Nordh E.; Pedrosa-Domellöf F.; Chermenina M.; Nygren A.; Tournev I.; Zhelyazkova-Glaveeva S.; Cherneva Z.; Sarafov S.; Chamova T.; Cherninkova-Gopina S.; Schmidt H.H.; Vorona E.; Huesing-Kabar A.; Schilling M.; Kabar I.; Tepasse P.-R.; Gillmore J.D.; Martinez-Naharro A.; Chacko L.; Law S.; Rezk T.; Lachmann H.J.; Quan D.; Dixon S.; Fridman V.; Low S.C.; Goh K.J.; Mezei M.M.; Jack K.; Wade N.K.; Lopate G.; Geisler S.; Sommerville R.B.; Florence J.; Stewart G.; Taylor M.; Suan D.",Five-Year Results With Patisiran for Hereditary Transthyretin Amyloidosis With Polyneuropathy: A Randomized Clinical Trial With Open-Label Extension,2025,JAMA Neurology,10.1001/jamaneurol.2024.4631,"Importance: There is a lack of long-term efficacy and safety data on hereditary transthyretin amyloidosis with polyneuropathy (hATTR-PN) and on RNA interference (RNAi) therapeutics in general. This study presents the longest-term data to date on patisiran for hATTR-PN. Objective: To present the long-term efficacy and safety of patisiran in adults with hATTR-PN. Design, Setting, and Participants: This global open-label extension (OLE) of the APOLLO randomized clinical trial and phase 2 OLE study enrolled patients from 43 hospitals or clinical centers across 19 countries between July 2015 and August 2017, with follow-up until November 2022. Of 212 eligible patients with hATTR who completed the phase 3 APOLLO or phase 2 OLE parent studies, 211 enrolled in and 138 completed the global OLE. Intervention: Patisiran, 0.3 mg/kg, intravenously once every 3 weeks for up to 5 years. Main Outcomes and Measures: Outcomes evaluated at year 5 of the global OLE included disability (polyneuropathy disability [PND] score); polyneuropathy severity (Neuropathy Impairment Score [NIS]), nutritional status (modified body mass index [mBMI]), quality of life (Norfolk Quality of Life-Diabetic Neuropathy [Norfolk QOL-DN]), and Rasch-Built Overall Disability Scale (R-ODS), with no statistical hierarchy. Safety, survival probability, and mortality were also assessed. Results: At the global OLE baseline, the mean (SD) age was 61.3 (12.3) years, and 156 patients (73.9%) were male. In 138 patients completing the study, PND scores remained stable or improved in 89 patients (65.0%), NISs showed a mean (SD) change of 10.9 (14.7), and mean (SD) mBMI (calculated as weight in kilograms divided by height in meters squared times serum albumin in grams per liter) increased by 46.4 (120.7) over 5 years from baseline. Norfolk QOL-DN and R-ODS scores showed mean (SD) changes of 4.1 (16.7) and -3.7 (6.2), respectively. Adverse events (AEs) leading to study withdrawal occurred in 47 patients (22.3%). Infusion-related reactions were the most common treatment-related AE (n = 34 [16.1%]). Overall, 41 patients (19.4%) died during the study. Patisiran treatment in the parent study and low familial amyloid polyneuropathy score at parent study baseline were associated with significantly improved survival. Conclusions and Relevance: In the longest study of an RNAi therapeutic for any disease, patisiran treatment resulted in modest changes for patients with hATTR-PN with an acceptable safety profile. These results highlight the importance of initiating early treatment for hATTR and the potential of RNAi therapeutics in medicine.  Copyright © 2025 Adams D et al.",,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85216938826,[WARNING:NoKeywords]
Sun C.; Hirata Y.; Kawahara T.; Kawashima M.; Sato M.; Nakajima J.; Anraku M.,Diagnosis of Respiratory Sarcopenia for Stratifying Postoperative Risk in Non-Small Cell Lung Cancer,2025,JAMA Surgery,10.1001/jamasurg.2024.4800,"IMPORTANCE Physical biomarkers for stratifying patients with lung cancer into subtypes suggestive of outcomes are underexplored. OBJECTIVE To investigate the clinical utility of respiratory sarcopenia for optimizing postoperative risk stratification in patients with non-small cell lung cancer (NSCLC). DESIGN, SETTING, AND PARTICIPANTS This retrospective cohort study reviewed consecutive patients undergoing lobectomy and mediastinal lymph node dissection for NSCLC at 2 institutions in Tokyo, Japan, between 2009 and 2018. Eligible patients underwent electronic computed tomography image analysis. Follow-up began at the date of surgery and continued until death, the last contact, or March 2022. Data analysis was performed from April 2022 to March 2023. MAIN OUTCOMES AND MEASURES Respiratory sarcopenia was identified by poor respiratory strength (peak expiratory flow rate) and was confirmed by a low pectoralis muscle index (PMI; pectoralis muscle area/body mass index). Patients with poor peak expiratory flow rate but normal PMI received a diagnosis of pre-respiratory sarcopenia. Short-term and long-term postoperative outcomes were compared among patients with a normal status, pre-respiratory sarcopenia, and respiratory sarcopenia. Group differences were analyzed using the Kruskal-Wallis test and Pearson χ2 test for continuous and categorical data, respectively. Survival differences were compared using the log-rank test. Univariable and multivariable analyses were conducted using the Cox proportional hazards model. RESULTS Of a total of 1016 patients, 806 (497 men [61.7%]; median [IQR] age, 69 [64-76] years) were eligible for electronic computed tomography image analysis. The median (IQR) duration of follow-up for survival was 5.2 (3.6-6.4) years. Respiratory strength was more closely correlated with PMI than pectoralis muscle radiodensity (Pearson r2, 0.58 vs 0.29). Respiratory strength and PMI declined with aging simultaneously (both P for trend < .001). Pre-respiratory sarcopenia was present in 177 patients (22.0%), and respiratory sarcopenia was present in 130 patients (16.1%). The risk of postoperative complications escalated from 82 patients (16.4%) with normal status to 39 patients (22.0%) with pre-respiratory sarcopenia to 39 patients (30.0%) with respiratory sarcopenia (P for trend < .001), as did the risk of delayed recovery after surgery (P for trend < .001). Compared with patients with normal status or pre-respiratory sarcopenia, patients with respiratory sarcopenia exhibited worse 5-year overall survival (438 patients [87.2%] vs 133 patients [72.9%] vs 85 patients [62.5%]; P for trend < .001). Multivariable analysis identified respiratory sarcopenia as a factor independently associated with increased risk of mortality (hazard ratio, 1.83; 95% CI, 1.15-2.89; P = .01) after adjustment for sex, age, smoking status, performance status, chronic heart disease, forced expiratory volume in 1 second, diffusing capacity for carbon monoxide, C-reactive protein, albumin, carcinoembryonic antigen, histology, and pathologic stage. CONCLUSIONS AND RELEVANCE This study identified individuals at higher risk of poor outcomes by screening and staging respiratory sarcopenia. The early diagnosis of respiratory sarcopenia could optimize management strategies and facilitate longitudinal care in patients with NSCLC. © 2024 Sun C et al. JAMA Surgery.",,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85215146027,[WARNING:NoKeywords]
van Tilburg S.J.; Huizinga R.; Kuitwaard K.; Sassen S.D.T.; Walgaard C.; van Doorn P.A.; Jacobs B.C.; Koch B.C.P.,"If it does not help, it might hurt: Pharmacodynamics of a second IVIg course in Guillain–Barré syndrome",2025,Annals of Clinical and Translational Neurology,10.1002/acn3.52313,"Objectives: Intravenous immunoglobulin (IVIg) is an effective treatment for Guillain–Barré syndrome (GBS), but recovery varies between patients. This study aims to evaluate the pharmacokinetics (PK) and pharmacodynamics (PD) of a single and a second IVIg dose (SID) in patients with GBS. Methods: Data were analyzed from the SID-GBS trial, a double-blind, randomized, placebo-controlled study. Patients with poor prognosis (modified Erasmus GBS Outcome Score, mEGOS ≥6) after a standard course of IVIg (0.4 g/kg for 5 days) were randomized to receive either SID or placebo. Serum IgG levels were measured at standard serial time points and clinical outcomes were assessed using the GBS disability score and Medical Research Council sum score. PK modeling was performed to predict IVIg exposure and its association with clinical outcomes. Results: Serum IgG concentration after a single and double course of IVIg was variable, but accurately described by the current PK model. Lower ΔIgG and IVIg exposure were associated with poorer clinical outcomes. SID increased the IgG concentration, but did not result in an improvement in clinical outcome. Serious adverse events, including thromboembolic events, occurred more frequently in the SID group and were associated with lower IVIg exposure. Interpretation: SID increases serum IgG levels in GBS patients as predicted by the current PK model, but does not improve clinical outcomes and increases the risk of serious adverse events. Model-informed precision dosing may guide individualization of treatment. © 2025 The Author(s). Annals of Clinical and Translational Neurology published by Wiley Periodicals LLC on behalf of American Neurological Association.",,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105000371305,Pharmacodynamics
Heming M.; Börsch A.-L.; Melnik S.; Gmahl N.; Müller-Miny L.; Dambietz C.; Fisch L.; Kühnel T.; Brix T.J.; Janssen A.; Schumann E.; Gross C.C.; Varghese J.; Hahn T.; Wiendl H.; Meyer zu Hörste G.,Atlas of Cerebrospinal Fluid Immune Cells Across Neurological Diseases,2025,Annals of Neurology,10.1002/ana.27157,"Objective: Cerebrospinal fluid (CSF) provides unique insights into the brain and neurological diseases. However, the potential of CSF flow cytometry applied on a large scale remains unknown. Methods: We used data-driven approaches to analyze paired CSF and blood flow cytometry measurements from 8,790 patients (discovery cohort) and CSF only data from 3,201 patients (validation cohort) collected across neurological diseases in a real-world setting. Results: In somatoform controls (n = 788), activation of T cells increased with age in both CSF and blood, whereas double negative blood T cells (CD3+CD4−CD8−) decreased with age. A machine learning model of CSF and blood immune cells defined immune age, which correlated strongly with true biological age (r = 0.71). Classifying all diseases solely based on the CSF/blood parameters in 8,790 patients resulted in clusters of 4 disease categories: healthy, autoimmune, meningoencephalitis, and neurodegenerative. This clustering was validated in an analytically independent test dataset (8,790 patients) and in a temporally independent cohort (3,201 patients). Patients with multiple sclerosis were more likely to have progressive disease when assigned to the neurodegeneration cluster and to have lower disability in the autoimmune cluster. Patients with dementia in the neurodegeneration cluster showed more severe disease progression. Flow cytometry helped differentiate dementia from controls, thereby enhancing the diagnostic power of routine CSF diagnostics. Interpretation: Flow cytometry of CSF and blood thus identifies site-specific aging patterns and disease-overarching patterns of neurodegeneration. ANN NEUROL 2025;97:779–790. © 2024 The Author(s). Annals of Neurology published by Wiley Periodicals LLC on behalf of American Neurological Association.",,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85211610799,Cytometry; Immunophenotyping
Müller L.; Özdüzenciler P.; Schedlich-Teufer C.; Seger A.; Jergas H.; Fink G.R.; Willbold D.; Sommerauer M.; Barbe M.T.; Tamgüney G.,Elevated α-Synuclein Aggregate Levels in the Urine of Patients with Isolated REM Sleep Behavior Disorder and Parkinson's Disease,2025,Annals of Neurology,10.1002/ana.27250,"Parkinson's disease (PD) is a neurodegenerative disorder characterized by α-synuclein aggregation in neurons. Recent advances suggest α-synuclein aggregates could serve as a biomarker for PD and related synucleinopathies. This study used surface-based fluorescence intensity distribution analysis (sFIDA) to measure α-synuclein aggregates in urine. Patients with PD and isolated rapid eye movement sleep behavior disorder, a precursor to PD, had elevated concentrations compared with healthy controls. Sensitivity and specificity were 83% and 65% for PD versus controls and 89% and 62% for isolated rapid eye movement sleep behavior disorder versus controls. The findings highlight sFIDA's potential for diagnosing synucleinopathies. ANN NEUROL 2025;98:147–151. © 2025 The Author(s). Annals of Neurology published by Wiley Periodicals LLC on behalf of American Neurological Association.",,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105003817548,Sleep; Synucleinopathies
